tconst,primaryTitle,startYear,genres
tt0035599,Voice of Firestone Televues,1943,\N
tt0038276,You Are an Artist,1946,\N
tt0039120,Americana,1947,"Family,Game-Show"
tt0039121,Birthday Party,1947,Family
tt0039122,The Borden Show,1947,"Comedy,Music"
tt0039123,Kraft Theatre,1947,Drama
tt0039124,Party Line,1947,\N
tt0039125,Public Prosecutor,1947,"Crime,Drama,Mystery"
tt0040021,Actor's Studio,1948,Drama
tt0040022,The Adventures of Oky Doky,1948,"Comedy,Family,Fantasy"
tt0040023,The Alan Dale Show,1948,Music
tt0040024,America Song,1948,Music
tt0040025,America Speaks,1948,\N
tt0040026,America's Town Meeting,1948,Talk-Show
tt0040027,The Arrow Show,1948,"Comedy,Music"
tt0040028,Talent Scouts,1948,"Comedy,Family,Music"
tt0040029,At Liberty Club,1948,Music
tt0040030,Author Meets the Critics,1947,"Family,Talk-Show"
tt0040031,"Barney Blake, Police Reporter",1948,"Crime,Drama"
tt0040032,The Bigelow Show,1948,Music
tt0040033,"Break the $250,000 Bank",1948,"Family,Game-Show"
tt0040034,Candid Camera,1948,"Comedy,Family,Reality-TV"
tt0040035,Captain Billy's Mississippi Music Hall,1948,"Comedy,Music"
tt0040036,The Chevrolet Tele-Theatre,1948,Drama
tt0040037,The Fashion Story,1948,Comedy
tt0040038,The Growing Paynes,1948,"Comedy,Family"
tt0040039,Hollywood Screen Test,1948,Family
tt0040040,Kobb's Corner,1948,\N
tt0040041,The Milton Berle Show,1948,"Comedy,Family"
tt0040042,The Morey Amsterdam Show,1948,"Comedy,Family,Music"
tt0040043,Movieland Quiz,1948,Game-Show
tt0040044,Museum of Science and Industry,1948,\N
tt0040045,"Okay, Mother",1948,"Comedy,Family,Music"
tt0040046,On the Corner,1948,Talk-Show
tt0040047,Paris Cavalcade of Fashions,1948,\N
tt0040048,Perry Como's Kraft Music Hall,1948,Music
tt0040049,Repertory Theatre,1948,Drama
tt0040050,Picture This,1948,Family
tt0040051,Studio One in Hollywood,1948,Drama
tt0040052,The Swift Show,1948,"Comedy,Music"
tt0040053,The Ed Sullivan Show,1948,"Comedy,Music"
tt0040054,U.N. Casebook,1948,\N
tt0040055,Variety,1948,\N
tt0040056,Village Barn,1948,Music
tt0040057,"We, the People",1948,Talk-Show
tt0040058,Welcome Aboard,1948,"Comedy,Music"
tt0040059,What's It Worth,1948,\N
tt0040061,You're Invited,1948,"Comedy,Music"
tt0040062,Young Broadway,1948,Musical
tt0040990,ABC Barn Dance,1949,Music
tt0040991,ABC Television Players,1949,Drama
tt0040992,Action Autographs,1949,"Comedy,Family"
tt0040993,The Admiral Broadway Revue,1949,"Comedy,Music"
tt0040994,Adventures in Jazz,1949,Music
tt0040995,The Al Morgan Show,1949,"Family,Music"
tt0040996,The Aldrich Family,1949,"Comedy,Family"
tt0040997,Alice Pearce,1949,"Comedy,Music"
tt0040998,The Amazing Polgar,1949,\N
tt0040999,American Minstrels of 1949,1949,Music
tt0041000,And Everything Nice,1949,\N
tt0041001,Armchair Detective,1949,Drama
tt0041002,Arthur Godfrey and His Friends,1949,Music
tt0041003,Auction-Aire,1949,\N
tt0041004,Backstage with Barry Wood,1949,Music
tt0041005,Believe It or Not,1949,"Drama,History"
tt0041006,The Benny Rubin Show,1949,Comedy
tt0041007,The Big Story,1949,Drama
tt0041008,The Black Robe,1949,Drama
tt0041009,Your Big Moment,1949,Game-Show
tt0041010,Blues by Bargy,1949,Music
tt0041011,Bowling Headliners,1949,Sport
tt0041012,Cactus Jim,1949,\N
tt0041013,Capitol Cloak Room,1949,\N
tt0041014,Captain Video and His Video Rangers,1949,"Action,Adventure,Family"
tt0041015,Cavalcade of Stars,1949,"Comedy,Family,Music"
tt0041016,Celebrity Time,1948,"Family,Game-Show"
tt0041017,The Cliff Edwards Show,1949,Music
tt0041018,Colgate Theatre,1949,Drama
tt0041019,A Couple of Joes,1949,"Comedy,Music"
tt0041020,Easy Aces,1949,"Comedy,Family,Talk-Show"
tt0041021,The Ed Wynn Show,1949,"Comedy,Music"
tt0041022,The Fifty-Fourth Street Revue,1949,"Comedy,Music"
tt0041023,Fireside Theatre,1949,Drama
tt0041024,The Ford Television Theatre,1952,"Comedy,Drama,Music"
tt0041025,The Front Page,1949,"Comedy,Drama"
tt0041026,Front Row Center,1949,"Comedy,Family,Music"
tt0041027,The Goldbergs,1949,Comedy
tt0041028,Hold It Please,1949,"Family,Game-Show"
tt0041029,Hollywood House,1949,Comedy
tt0041030,Hopalong Cassidy,1952,Western
tt0041031,Inside U.S.A. with Chevrolet,1949,"Comedy,Music"
tt0041032,Jack Leonard,1949,\N
tt0041033,The Jacques Fray Music Room,1949,Music
tt0041034,College of Musical Knowledge,1949,"Comedy,Family,Game-Show"
tt0041035,Leave It to the Girls,1949,"Family,Talk-Show"
tt0041036,The Life of Riley,1949,Comedy
tt0041037,Lights Out,1946,"Horror,Mystery,Sci-Fi"
tt0041038,The Lone Ranger,1949,Western
tt0041039,Mama,1949,"Comedy,Drama,Family"
tt0041040,Man Against Crime,1949,"Action,Crime,Drama"
tt0041041,Manhattan Showcase,1949,\N
tt0041042,Martin Kane,1949,Drama
tt0041043,The Molly Picon Show,1949,\N
tt0041044,Mr. I. Magination,1949,"Family,Western"
tt0041045,Mysteries of Chinatown,1949,"Crime,Drama"
tt0041046,The O'Neills,1949,"Drama,Family"
tt0041047,Oboler Comedy Theatre,1949,Comedy
tt0041048,One Man's Family,1949,Drama
tt0041049,The Paul Whiteman's Goodyear Revue,1949,Music
tt0041050,The Ruggles,1949,"Comedy,Family"
tt0041051,School House,1949,"Comedy,Family,Music"
tt0041052,Sessions,1949,\N
tt0041053,The Silver Theatre,1949,"Drama,Romance"
tt0041054,The Boris Karloff Mystery Playhouse,1949,Drama
tt0041055,Stop the Music,1949,Game-Show
tt0041056,Stump the Authors,1949,"Family,Game-Show"
tt0041057,Sugar Hill Times,1949,"Comedy,Music"
tt0041058,Sunday Date,1949,Music
tt0041059,Sunday at Home,1949,"Game-Show,Music"
tt0041060,Super Circus,1954,Family
tt0041061,Suspense,1949,"Drama,Mystery,Thriller"
tt0041062,TV Teen Club,1949,Music
tt0041063,That Wonderful Guy,1949,Comedy
tt0041064,Think Fast,1949,"Family,Game-Show"
tt0041065,This Is Show Business,1949,"Family,Talk-Show"
tt0041066,U.S. Marine Band,1949,Music
tt0041067,Vaudeo Varieties,1949,"Comedy,Music"
tt0041068,Versatile Varieties,1949,"Family,Music"
tt0041069,The Voice of Firestone,1949,Music
tt0041070,Volume One,1949,"Drama,Horror,Mystery"
tt0041071,Wayne King,1949,Music
tt0041072,Through Wendy's Window,1948,Family
tt0041073,Wesley,1949,Comedy
tt0041074,What Do You Think?,1949,\N
tt0041075,Window on the World,1949,"Comedy,Family,Music"
tt0041076,Your Show Time,1949,Drama
tt0041077,Your Witness,1949,Drama
tt0041078,Youth on the March,1949,\N
tt0042068,Abe Burrows' Almanac,1950,"Comedy,Music,Talk-Show"
tt0042069,The Adventures of Ellery Queen,1950,"Crime,Drama,Mystery"
tt0042070,The Alan Young Show,1950,Comedy
tt0042071,Alkali Ike,1950,"Comedy,Western"
tt0042072,American Forum of the Air,1950,Talk-Show
tt0042073,Answer Yes or No,1950,"Family,Game-Show"
tt0042074,Armstrong Circle Theatre,1950,Drama
tt0042075,Around the Town,1950,\N
tt0042076,Art Ford on Broadway,1950,\N
tt0042077,Arthur Godfrey and His Ukulele,1950,Music
tt0042078,The Arthur Murray Party,1950,"Family,Music"
